Title,Type,Latitude,Longitude,map,Country
,Road,54.0449727,-6.6019918,,Northern Ireland
,Road,54.0395973,-6.6172576,,Northern Ireland
,Road,54.0586641,-6.6465961,,Northern Ireland
,Road,54.0691703,-6.6642343,,Northern Ireland
,Road,54.1027573,-6.6490016,,Northern Ireland
,Road,54.1190394,-6.6607496,,Northern Ireland
,Road,54.1301923,-6.6477566,,Northern Ireland
,Road,54.1381237,-6.6400441,,Northern Ireland
,Road,54.146207,-6.6343974,,Northern Ireland
,Road,54.1631626,-6.6343605,,Northern Ireland
,Road,54.1745154,-6.6411355,,Northern Ireland
,Road,54.1825584,-6.6539698,,Northern Ireland
,Road,54.1905078,-6.6633068,,Northern Ireland
,Road,54.1949728,-6.6776231,,Northern Ireland
,Road,54.1948595,-6.6877444,,Northern Ireland
,Road,54.2002396,-6.7028739,,Northern Ireland
,Road,54.1831747,-6.728269,,Northern Ireland
,Road,54.1857394,-6.7340901,,Northern Ireland
,Road,54.1842731,-6.744592,,Northern Ireland
,Road,54.1940957,-6.7505963,,Northern Ireland
,Road,54.1951385,-6.7509956,,Northern Ireland
,Road,54.1975376,-6.7547959,,Northern Ireland
,Road,54.1988663,-6.7617949,,Northern Ireland
,Road,54.2087768,-6.7928094,,Northern Ireland
,Road,54.2131982,-6.8010536,,Northern Ireland
,Road,54.2204085,-6.800811,,Northern Ireland
,Road,54.2302261,-6.8179273,,Northern Ireland
,Road,54.2394895,-6.8201642,,Northern Ireland
,Road,54.265789,-6.8365133,,Northern Ireland
,Road,54.2676138,-6.8391309,,Northern Ireland
,Road,54.266935,-6.8401896,,Northern Ireland
,Road,54.2664026,-6.8438429,,Northern Ireland
,Road,54.2663876,-6.8450865,,Northern Ireland
,Road,54.2654181,-6.8495091,,Northern Ireland
,Road,54.275232,-6.8667671,,Northern Ireland
,Road,54.291384,-6.8517001,,Northern Ireland
,Road,54.3256913,-6.865141,,Northern Ireland
,Road,54.3384889,-6.8753727,,Northern Ireland
,Road,54.3507643,-6.8976315,,Northern Ireland
,Road,54.3696613,-6.9067989,,Northern Ireland
,Road,54.4001486,-6.9756573,,Northern Ireland
,Road,54.4083512,-7.0020221,,Northern Ireland
,Road,54.4177585,-7.0378578,,Northern Ireland
,Road,54.4110738,-7.0573077,,Northern Ireland
,Road,54.3880269,-7.0730039,,Northern Ireland
,Road,54.3823031,-7.0816365,,Northern Ireland
,Road,54.3716773,-7.0997394,,Northern Ireland
,Road,54.3682719,-7.1056839,,Northern Ireland
,Road,54.3108236,-7.1949165,,Northern Ireland
,Road,54.3042035,-7.2066122,,Northern Ireland
,Road,54.2854426,-7.1724806,,Northern Ireland
,Road,54.2732359,-7.1600855,,Northern Ireland
,Road,54.262265,-7.1525329,,Northern Ireland
,Road,54.2568351,-7.1450225,,Northern Ireland
,Road,54.2516771,-7.1425625,,Northern Ireland
,Road,54.2328939,-7.1498602,,Northern Ireland
,Road,54.2303803,-7.1472163,,Northern Ireland
,Road,54.2247301,-7.1477854,,Northern Ireland
,Road,54.2206468,-7.179457,,Northern Ireland
,Road,54.2245968,-7.1848042,,Northern Ireland
,Road,54.2074486,-7.2317689,,Northern Ireland
,Road,54.2061094,-7.236634,,Northern Ireland
,Road,54.2056092,-7.2426878,,Northern Ireland
,Road,54.1987761,-7.2363222,,Northern Ireland
,Road,54.1984931,-7.2352837,,Northern Ireland
,Road,54.1934625,-7.2367538,,Northern Ireland
,Road,54.1939023,-7.2498678,,Northern Ireland
,Road,54.176836,-7.2573058,,Northern Ireland
,Road,54.1718476,-7.2420464,,Northern Ireland
,Road,54.1634081,-7.2580537,,Northern Ireland
,Road,54.159946,-7.2576808,,Northern Ireland
,Road,54.1465621,-7.2628128,,Northern Ireland
,Road,54.1207442,-7.2983876,,Northern Ireland
,Road,54.1309545,-7.3078799,,Northern Ireland
,Road,54.1327392,-7.3046684,,Northern Ireland
,Road,54.1330997,-7.2973742,,Northern Ireland
,Road,54.1308892,-7.2918008,,Northern Ireland
,Road,54.1492377,-7.293882,,Northern Ireland
,Road,54.1625149,-7.2833651,,Northern Ireland
,Road,54.1710619,-7.2889355,,Northern Ireland
,Road,54.1671267,-7.2984644,,Northern Ireland
,Road,54.1665031,-7.3022724,,Northern Ireland
,Road,54.1654827,-7.310774,,Northern Ireland
,Road,54.1597976,-7.3179285,,Northern Ireland
,Road,54.1531892,-7.3250777,,Northern Ireland
,Road,54.1383409,-7.3300147,,Northern Ireland
,Road,54.1303356,-7.3132953,,Northern Ireland
,Road,54.1150952,-7.315489,,Northern Ireland
,Road,54.1166829,-7.3374014,,Northern Ireland
,Road,54.1168608,-7.3416687,,Northern Ireland
,Road,54.1164424,-7.3457902,,Northern Ireland
,Road,54.1209684,-7.3896401,,Northern Ireland
,Road,54.1223245,-7.481592,,Northern Ireland
,Road,54.1300237,-7.567051,,Northern Ireland
,Road,54.1328869,-7.5715381,,Northern Ireland
,Road,54.1870839,-7.6608059,,Northern Ireland
,Road,54.1927927,-7.6798147,,Northern Ireland
,Road,54.1970806,-7.6840158,,Northern Ireland
,Road,54.2019748,-7.6882521,,Northern Ireland
,Road,54.2050108,-7.6951848,,Northern Ireland
,Road,54.2073618,-7.7027342,,Northern Ireland
,Road,54.288631,-7.868401,,Northern Ireland
,Road,54.2942931,-7.8732534,,Northern Ireland
,Road,54.348621,-8.0004071,,Northern Ireland
,Road,54.3572585,-8.0328257,,Northern Ireland
,Road,54.3590586,-8.036435,,Northern Ireland
,Road,54.3628637,-8.0447316,,Northern Ireland
,Road,54.4053884,-8.0964497,,Northern Ireland
,Road,54.4446855,-8.1562819,,Northern Ireland
,Road,54.4674383,-8.1730179,,Northern Ireland
,Road,54.4695328,-8.140176,,Northern Ireland
,Road,54.4772524,-8.0979797,,Northern Ireland
,Road,54.4769402,-8.0954547,,Northern Ireland
,Road,54.4790227,-8.0940122,,Northern Ireland
,Road,54.4844552,-8.0973715,,Northern Ireland
,Road,54.5365397,-8.0131603,,Northern Ireland
,Road,54.5382286,-7.9573719,,Northern Ireland
,Road,54.5346141,-7.8695242,,Northern Ireland
,Road,54.5490943,-7.8309644,,Northern Ireland
,Road,54.5497413,-7.8319035,,Northern Ireland
,Road,54.5520386,-7.8331613,,Northern Ireland
,Road,54.5661282,-7.8075702,,Northern Ireland
,Road,54.5737643,-7.7984695,,Northern Ireland
,Road,54.5808493,-7.7913367,,Northern Ireland
,Road,54.5952106,-7.7582136,,Northern Ireland
,Road,54.6051414,-7.7209895,,Northern Ireland
,Road,54.61093,-7.6972922,,Northern Ireland
,Road,54.6193431,-7.7512679,,Northern Ireland
,Road,54.6211268,-7.7554214,,Northern Ireland
,Road,54.6341671,-7.8382521,,Northern Ireland
,Road,54.6618007,-7.9016281,,Northern Ireland
,Road,54.7330313,-7.8420701,,Northern Ireland
,Road,54.7197793,-7.8062381,,Northern Ireland
,Road,54.7146171,-7.7780304,,Northern Ireland
,Road,54.7097713,-7.7419164,,Northern Ireland
,Road,54.7214678,-7.7207743,,Northern Ireland
,Road,54.2229876,-6.8043411,,Northern Ireland
,Road,54.2654073,-6.8495569,,Northern Ireland
,Road,54.7296979,-7.6885446,,Northern Ireland
,Road,54.7464276,-7.6478283,,Northern Ireland
,Road,54.7489569,-7.6301758,,Northern Ireland
,Road,54.7441687,-7.6094436,,Northern Ireland
,Road,54.7441466,-7.5912938,,Northern Ireland
,Road,54.7499335,-7.5863693,,Northern Ireland
,Road,54.7482394,-7.575592,,Northern Ireland
,Road,54.7438585,-7.569783,,Northern Ireland
,Road,54.7409344,-7.5482537,,Northern Ireland
,Road,54.7509688,-7.5386003,,Northern Ireland
,Road,54.7883771,-7.5479029,,Northern Ireland
,Road,54.7929619,-7.5458936,,Northern Ireland
,Road,54.8314081,-7.4809687,,Northern Ireland
,Road,54.9604308,-7.4026772,,Northern Ireland
,Road,54.9668996,-7.4027039,,Northern Ireland
,Road,54.9782666,-7.4059892,,Northern Ireland
,Road,54.9791438,-7.4045821,,Northern Ireland
,Road,54.9889632,-7.4007176,,Northern Ireland
,Road,54.9947156,-7.391988,,Northern Ireland
,Road,55.0201934,-7.3912037,,Northern Ireland
,Road,55.0347533,-7.3702527,,Northern Ireland
,Road,55.0367238,-7.3679719,,Northern Ireland
,Road,55.0403943,-7.3614417,,Northern Ireland
,Road,55.0461712,-7.3520452,,Northern Ireland
,Road,55.0462655,-7.3154204,,Northern Ireland
,Road,55.0524601,-7.3072279,,Northern Ireland
,Road,55.0477026,-7.2894434,,Northern Ireland
,Road,55.0641856,-7.2698926,,Northern Ireland
,Road,55.0643907,-7.2695008,,Northern Ireland
,Road,55.0658963,-7.2613919,,Northern Ireland
,Road,54.0594953,-6.4213784,,Northern Ireland
,Road,54.7751515,-7.5470344,,Northern Ireland
,Road,54.0970598,-6.3623285,,Northern Ireland
