Title,Type,Latitude,Longitude,map,Country
"Raja-Jooseppi, Finland",Road,68.476145,28.473048,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538170929689!6m8!1m7!1s4TXQvvhEsfr4hzl6_D4lxg!2m2!1d68.4765286925671!2d28.46133557813187!3f96.30446694033398!4f-10.283706190081077!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Salla, Finland",Road,66.94443,29.034644,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538171291944!6m8!1m7!1sWbErRxw6JlCQ_u4rzgiAPg!2m2!1d66.94178431508797!2d29.0185114987943!3f70.43785977815654!4f2.293492850422439!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Vaalimaa, Finland",Road,60.604696,27.873505,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538171504919!6m8!1m7!1sOIBvyiGNU7gWGAy2q7rKkQ!2m2!1d60.60538076894095!2d27.84962271876716!3f76.98990841878957!4f6.079226810466366!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Vainikkala , Finland",Railway,60.855264,28.337965,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14483.563961590058!2d28.302966243051927!3d60.85783176802255!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNjDCsDUxJzE5LjAiTiAyOMKwMjAnMTYuNyJF!5e1!3m2!1sen!2sie!4v1538171604855"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Vartius, Finland",Road,64.545482,29.990583,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538171682997!6m8!1m7!1sDp6dw8ZgHPzXJyPwEyZIlw!2m2!1d64.54502318654019!2d29.98376952443185!3f108.69407087337476!4f-0.5650317738990935!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Vartius, Finland",Railway,64.545949,29.99075,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3840.092753033231!2d29.982808092584246!3d64.54491635225278!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNjTCsDMyJzQ1LjQiTiAyOcKwNTknMjYuNyJF!5e1!3m2!1sen!2sie!4v1538171758016"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Barabás, Hungary",Road,48.245787,22.445887,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538171930791!6m8!1m7!1stImngGMXN8ycujOrQ0Xi5Q!2m2!1d48.24483186221281!2d22.44443075289153!3f38.64190867560655!4f0.8560610572378096!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Beregsurány, Hungary",Road,48.165049,22.573257,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538172022459!6m8!1m7!1s7eG_fdFcaOHvLvlBJBn-Iw!2m2!1d48.16344749886558!2d22.5678648791821!3f68.99870555452134!4f0.03331208249576889!5f1.9587109090973311"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Eperjeske, Hungary",Railway,48.373999,22.256392,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3760.8544801649414!2d22.25201289428855!3d48.37399886996937!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDjCsDIyJzI2LjQiTiAyMsKwMTUnMjMuMCJF!5e1!3m2!1sen!2sie!4v1538172175087"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Lónya, Hungary",Road,48.318033,22.318627,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538172373454!6m8!1m7!1sNLZC3f8CDON2XDIZHvXeuA!2m2!1d48.31998909978658!2d22.31653654225238!3f140.75939301702775!4f1.6312422279778218!5f2.299968626952992"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
