latitude,longitude,capacity,iday,imonth,iyear,date
54.597269,-5.930109,1,14,9,1971,14/09/1971
31.766496,35.21172,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,17,9,1971,17/09/1971
54.823432,-7.468374,1,18,9,1971,18/09/1971
40.617623,-74.417061,1,18,9,1971,18/09/1971
54.99451,-7.319996,1,28,9,1971,28/09/1971
54.597269,-5.930109,2,29,9,1971,29/09/1971
54.99451,-7.319996,1,30,9,1971,30/09/1971
54.597269,-5.930109,1,1,10,1971,01/10/1971
54.530989,-6.02939,1,2,10,1971,02/10/1971
54.597269,-5.930109,1,3,10,1971,03/10/1971
54.597269,-5.930109,1,4,10,1971,04/10/1971
54.597269,-5.930109,1,9,10,1971,09/10/1971
54.597269,-5.930109,2,15,10,1971,15/10/1971
54.597269,-5.930109,1,15,10,1971,15/10/1971
54.99451,-7.319996,1,16,10,1971,16/10/1971
54.597269,-5.930109,1,17,10,1971,17/10/1971
54.597269,-5.930109,1,23,10,1971,23/10/1971
54.597269,-5.930109,1,24,10,1971,24/10/1971
54.597269,-5.930109,1,26,10,1971,26/10/1971
54.99451,-7.319996,2,27,10,1971,27/10/1971
53.344104,-6.267494,1,27,10,1971,27/10/1971
54.597269,-5.930109,2,1,11,1971,01/11/1971
54.597269,-5.930109,3,2,11,1971,02/11/1971
33.748315,-84.391109,1,3,11,1971,03/11/1971
54.467967,-6.337967,1,7,11,1971,07/11/1971
54.99451,-7.319996,1,9,11,1971,09/11/1971
54.597269,-5.930109,2,11,11,1971,11/11/1971
54.597269,-5.930109,1,12,11,1971,12/11/1971
54.597269,-5.930109,1,18,11,1971,18/11/1971
54.823432,-7.468374,1,24,11,1971,24/11/1971
54.467967,-6.337967,1,24,11,1971,24/11/1971
54.18006,-6.33393,2,27,11,1971,27/11/1971
54.597269,-5.930109,1,27,11,1971,27/11/1971
30.05,31.25,1,28,11,1971,28/11/1971
54.597269,-5.930109,1,28,11,1971,28/11/1971
54.077313,-6.608787,1,29,11,1971,29/11/1971
54.597269,-5.930109,15,4,12,1971,04/12/1971
54.597269,-5.930109,1,4,12,1971,04/12/1971
54.597269,-5.930109,1,6,12,1971,06/12/1971
54.351322,-6.837455,1,7,12,1971,07/12/1971
54.597269,-5.930109,1,8,12,1971,08/12/1971
54.794595,-7.539339,2,10,12,1971,10/12/1971
54.597269,-5.930109,4,11,12,1971,11/12/1971
54.823432,-7.468374,1,12,12,1971,12/12/1971
54.597269,-5.930109,1,16,12,1971,16/12/1971
54.597269,-5.930109,1,18,12,1971,18/12/1971
54.597269,-5.930109,1,20,12,1971,20/12/1971
54.597269,-5.930109,1,21,12,1971,21/12/1971
54.99451,-7.319996,1,29,12,1971,29/12/1971
54.597269,-5.930109,1,5,1,1972,05/01/1972
54.597269,-5.930109,1,12,1,1972,12/01/1972
54.684823,-5.965868,1,13,1,1972,13/01/1972
31.522561,34.453593,1,16,1,1972,16/01/1972
54.597269,-5.930109,1,18,1,1972,18/01/1972
54.250039,-6.703625,1,21,1,1972,21/01/1972
40.712784,-74.005941,1,26,1,1972,26/01/1972
40.712784,-74.005941,1,26,1,1972,26/01/1972
54.255696,-5.948804,1,26,1,1972,26/01/1972
40.712784,-74.005941,2,27,1,1972,27/01/1972
54.99451,-7.319996,2,27,1,1972,27/01/1972
54.597269,-5.930109,1,28,1,1972,28/01/1972
54.597269,-5.930109,1,31,1,1972,31/01/1972
54.597269,-5.930109,7,1,2,1972,01/02/1972
54.597269,-5.930109,1,1,2,1972,01/02/1972
52.454306,13.144341,1,2,2,1972,02/02/1972
54.577389,-6.677339,1,2,2,1972,02/02/1972
54.250039,-6.703625,2,6,2,1972,06/02/1972
54.597269,-5.930109,1,8,2,1972,08/02/1972
54.347539,-6.656108,1,8,2,1972,08/02/1972
54.131402,-6.586387,2,10,2,1972,10/02/1972
54.184008,-7.360209,1,13,2,1972,13/02/1972
54.99451,-7.319996,1,16,2,1972,16/02/1972
54.479875,-6.228448,1,16,2,1972,16/02/1972
54.597269,-5.930109,1,17,2,1972,17/02/1972
54.597269,-5.930109,4,21,2,1972,21/02/1972
51.248429,-0.755979,7,22,2,1972,22/02/1972
51.248429,-0.755979,7,22,2,1972,22/02/1972
54.467967,-6.337967,1,29,2,1972,29/02/1972
54.18006,-6.33393,1,29,2,1972,29/02/1972
54.365171,-8.036373,1,1,3,1972,01/03/1972
54.597269,-5.930109,1,3,3,1972,03/03/1972
54.597269,-5.930109,1,4,3,1972,04/03/1972
54.597269,-5.930109,2,4,3,1972,04/03/1972
54.99451,-7.319996,1,4,3,1972,04/03/1972
54.293235,-6.842351,1,8,3,1972,08/03/1972
54.597269,-5.930109,1,12,3,1972,12/03/1972
54.597269,-5.930109,1,13,3,1972,13/03/1972
54.536706,-6.70361,1,15,3,1972,15/03/1972
54.597269,-5.930109,2,15,3,1972,15/03/1972
54.467967,-6.337967,1,16,3,1972,16/03/1972
54.597269,-5.930109,7,20,3,1972,20/03/1972
54.99451,-7.319996,1,20,3,1972,20/03/1972
-34.6037,-58.381503,1,21,3,1972,21/03/1972
54.597269,-5.930109,1,23,3,1972,23/03/1972
54.597269,-5.930109,1,25,3,1972,25/03/1972
41.127098,37.287124,3,26,3,1972,26/03/1972
54.597269,-5.930109,1,26,3,1972,26/03/1972
15.185916,120.54187,1,27,3,1972,27/03/1972
55.043617,-7.023927,2,28,3,1972,28/03/1972
54.597269,-5.930109,1,29,3,1972,29/03/1972
54.597269,-5.930109,1,30,3,1972,30/03/1972
45.50867,-73.553992,1,4,4,1972,04/04/1972
54.597269,-5.930109,1,7,4,1972,07/04/1972
-32.951052,-60.666365,1,10,4,1972,10/04/1972
55.007207,-7.341944,1,10,4,1972,10/04/1972
55.070718,-6.514895,1,13,4,1972,13/04/1972
54.597269,-5.930109,1,15,4,1972,15/04/1972
54.597269,-5.930109,1,15,4,1972,15/04/1972
54.99451,-7.319996,1,16,4,1972,16/04/1972
54.99451,-7.319996,1,16,4,1972,16/04/1972
54.192934,-6.576051,1,19,4,1972,19/04/1972
54.597269,-5.930109,1,19,4,1972,19/04/1972
54.597269,-5.930109,1,20,4,1972,20/04/1972
54.597269,-5.930109,1,21,4,1972,21/04/1972
54.597269,-5.930109,1,29,4,1972,29/04/1972
54.713641,-5.808233,1,1,5,1972,01/05/1972
54.597269,-5.930109,1,4,5,1972,04/05/1972
45.463681,9.188171,1,15,3,1972,15/03/1972
48.208174,16.373819,4,8,5,1972,08/05/1972
50.111445,8.680615,1,11,5,1972,11/05/1972
54.597269,-5.930109,1,11,5,1972,11/05/1972
54.597269,-5.930109,1,13,5,1972,13/05/1972
54.597269,-5.930109,1,13,5,1972,13/05/1972
54.597269,-5.930109,1,13,5,1972,13/05/1972
54.597269,-5.930109,1,13,5,1972,13/05/1972
54.597269,-5.930109,1,14,5,1972,14/05/1972
54.597269,-5.930109,1,14,5,1972,14/05/1972
54.597269,-5.930109,1,15,5,1972,15/05/1972
54.69212,-5.863265,1,17,5,1972,17/05/1972
54.077313,-6.608787,1,17,5,1972,17/05/1972
54.597269,-5.930109,1,19,5,1972,19/05/1972
54.787715,-6.492314,1,20,5,1972,20/05/1972
54.99451,-7.319996,1,21,5,1972,21/05/1972
54.597269,-5.930109,1,21,5,1972,21/05/1972
54.787715,-6.492314,1,22,5,1972,22/05/1972
54.597269,-5.930109,1,23,5,1972,23/05/1972
54.560124,-5.983657,1,23,5,1972,23/05/1972
49.4019,8.680285,3,24,5,1972,24/05/1972
54.597269,-5.930109,1,26,5,1972,26/05/1972
40.728075,-74.077825,1,27,5,1972,27/05/1972
54.597269,-5.930109,1,27,5,1972,27/05/1972
54.597269,-5.930109,1,28,5,1972,28/05/1972
54.597269,-5.930109,8,28,5,1972,28/05/1972
54.597269,-5.930109,1,28,5,1972,28/05/1972
32.004361,34.888229,26,30,5,1972,30/05/1972
54.597269,-5.930109,1,30,5,1972,30/05/1972
54.597269,-5.930109,1,30,5,1972,30/05/1972
35.696442,51.422974,1,31,5,1972,31/05/1972
54.238631,-7.170908,2,2,6,1972,02/06/1972
54.597269,-5.930109,1,4,6,1972,04/06/1972
54.99451,-7.319996,1,5,6,1972,05/06/1972
54.597269,-5.930109,1,6,6,1972,06/06/1972
54.597269,-5.930109,1,6,6,1972,06/06/1972
54.597269,-5.930109,1,8,6,1972,08/06/1972
54.787715,-6.492314,1,8,6,1972,08/06/1972
54.597269,-5.930109,1,9,6,1972,09/06/1972
54.597269,-5.930109,1,10,6,1972,10/06/1972
54.597269,-5.930109,1,11,6,1972,11/06/1972
54.99451,-7.319996,1,11,6,1972,11/06/1972
54.597269,-5.930109,1,12,6,1972,12/06/1972
13.977956,108.002298,81,15,6,1972,15/06/1972
54.597269,-5.930109,1,16,6,1972,16/06/1972
54.448118,-6.387579,3,18,6,1972,18/06/1972
54.597269,-5.930109,1,19,6,1972,19/06/1972
54.597269,-5.930109,1,19,6,1972,19/06/1972
15.153002,120.591942,1,21,6,1972,21/06/1972
54.99451,-7.319996,1,21,6,1972,21/06/1972
54.597269,-5.930109,1,23,6,1972,23/06/1972
54.927953,-6.925873,3,24,6,1972,24/06/1972
54.597269,-5.930109,1,24,6,1972,24/06/1972
54.18006,-6.33393,1,26,6,1972,26/06/1972
54.99451,-7.319996,1,26,6,1972,26/06/1972
54.597269,-5.930109,1,26,6,1972,26/06/1972
54.597269,-5.930109,1,27,6,1972,27/06/1972
54.597269,-5.930109,1,27,6,1972,27/06/1972
54.597269,-5.930109,1,1,7,1972,01/07/1972
54.597269,-5.930109,1,1,7,1972,01/07/1972
54.597269,-5.930109,2,2,7,1972,02/07/1972
54.597269,-5.930109,2,2,7,1972,02/07/1972
54.597269,-5.930109,1,3,7,1972,03/07/1972
54.616602,-5.965891,2,5,7,1972,05/07/1972
54.597269,-5.930109,1,5,7,1972,05/07/1972
54.597269,-5.930109,1,7,7,1972,07/07/1972
54.597269,-5.930109,3,9,7,1972,09/07/1972
54.597269,-5.930109,1,9,7,1972,09/07/1972
54.597269,-5.930109,1,9,7,1972,09/07/1972
54.597269,-5.930109,1,11,7,1972,11/07/1972
54.99451,-7.319996,1,11,7,1972,11/07/1972
54.42071,-6.443767,1,12,7,1972,12/07/1972
54.42071,-6.443767,2,12,7,1972,12/07/1972
54.597269,-5.930109,1,12,7,1972,12/07/1972
54.597269,-5.930109,1,12,7,1972,12/07/1972
54.597269,-5.930109,1,13,7,1972,13/07/1972
54.597269,-5.930109,1,13,7,1972,13/07/1972
54.597269,-5.930109,1,13,7,1972,13/07/1972
54.597269,-5.930109,1,13,7,1972,13/07/1972
54.597269,-5.930109,1,14,7,1972,14/07/1972
54.60237,-5.9756,1,14,7,1972,14/07/1972
54.597269,-5.930109,1,14,7,1972,14/07/1972
54.597269,-5.930109,1,14,7,1972,14/07/1972
54.101529,-6.526442,1,15,7,1972,15/07/1972
54.597269,-5.930109,1,15,7,1972,15/07/1972
54.077313,-6.608787,2,16,7,1972,16/07/1972
54.597269,-5.930109,1,16,7,1972,16/07/1972
4.594635,-74.093737,1,17,7,1972,17/07/1972
54.597269,-5.930109,1,18,7,1972,18/07/1972
54.597269,-5.930109,1,18,7,1972,18/07/1972
54.597269,-5.930109,1,19,7,1972,19/07/1972
54.823432,-7.468374,1,19,7,1972,19/07/1972
54.597269,-5.930109,1,19,7,1972,19/07/1972
54.597269,-5.930109,1,20,7,1972,20/07/1972
54.597269,-5.930109,1,21,7,1972,21/07/1972
54.597269,-5.930109,6,21,7,1972,21/07/1972
54.597269,-5.930109,1,21,7,1972,21/07/1972
