latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country_txt,region_txt,attacktype
43.136978,-2.073914,1,21,11,1980,21/11/1980,Tolosa,Basque Country,Spain,Western Europe,Assassination
43.359399,-1.766148,2,23,11,1980,23/11/1980,Hendaye,Pyrenees-Atlantiques,France,Western Europe,Armed Assault
48.856644,2.34233,2,25,11,1980,25/11/1980,Paris,Paris,France,Western Europe,Assassination
54.416694,-7.820272,1,26,11,1980,26/11/1980,Derrygonnelly,Northern Ireland,United Kingdom,Western Europe,Assassination
42.465776,-2.449995,1,27,11,1980,27/11/1980,Logrono,La Rioja,Spain,Western Europe,Bombing/Explosion
43.291618,-1.977903,1,27,11,1980,27/11/1980,Donostia-San Sebastian,Basque Country,Spain,Western Europe,Assassination
45.469212,9.174508,1,28,11,1980,28/11/1980,Milan,Lombardy,Italy,Western Europe,Assassination
41.890961,12.490069,1,1,12,1980,01/12/1980,Rome,Lazio,Italy,Western Europe,Assassination
54.607712,-5.95621,1,1,12,1980,01/12/1980,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.819164,-7.467909,1,6,12,1980,06/12/1980,Strabane,Northern Ireland,United Kingdom,Western Europe,Assassination
37.765739,-3.789518,1,7,12,1980,07/12/1980,Jaen,Andalusia,Spain,Western Europe,Bombing/Explosion
43.271876,-2.074358,1,7,12,1980,07/12/1980,Aginaga,Basque Country,Spain,Western Europe,Assassination
54.607712,-5.95621,1,10,12,1980,10/12/1980,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
40.747328,14.61464,1,11,12,1980,11/12/1980,Pagani,Campania,Italy,Western Europe,Assassination
43.18418,-2.473289,1,11,12,1980,11/12/1980,Eibar,Basque Country,Spain,Western Europe,Assassination
49.599937,11.0063,2,19,12,1980,19/12/1980,Erlangen,Bavaria,West Germany (FRG),Western Europe,Assassination
54.347539,-6.656108,1,28,12,1980,28/12/1980,Armagh,Northern Ireland,United Kingdom,Western Europe,Assassination
39.470239,-0.376805,1,29,12,1980,29/12/1980,Valencia,Valencia,Spain,Western Europe,Assassination
43.387537,-1.675432,1,30,12,1980,30/12/1980,Ciboure,Pyrenees-Atlantiques,France,Western Europe,Assassination
